;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text
34;1518004434818592768;2022-04-23 23:10:35+00:00;RabbitHole_BB;False;#thelittlethings;362;2157;246363;0;16;[{'text': 'Walker', 'indices': [70, 77]}, {'text': 'CordellWalker', 'indices': [78, 92]}, {'text': 'Nudge', 'indices': [93, 99]}, {'text': 'Flippies', 'indices': [100, 109]}];[{'screen_name': 'lemondropsonice', 'name': 'Sandi', 'id': 3333422057, 'id_str': '3333422057', 'indices': [3, 19]}];"Walker Advent Calendar 2021 • Belated Day 15 N°1
#Walker #CordellWalker #Nudge #Flippies https://t.co/w6O7htun8x"
35;1518004408990285824;2022-04-23 23:10:28+00:00;RobertL03597018;False;Canada;923;589;13972;0;64;[];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];I'm sure it warms the hearts of the evangelical family values crowd to see all the photos of Trump, without the str… https://t.co/BMwLh3SFN7
36;1518004207177019392;2022-04-23 23:09:40+00:00;Hatapecbiz;False;Ariel;1378;1160;9730;0;5;[];[{'screen_name': 'colt45price', 'name': 'Colt Price', 'id': 1597519435, 'id_str': '1597519435', 'indices': [3, 15]}, {'screen_name': 'MsDinklepuff', 'name': 'msdinklepuff.eth', 'id': 937753686201290752, 'id_str': '937753686201290752', 'indices': [17, 30]}, {'screen_name': 'derner85', 'name': 'derner.eth', 'id': 4917174394, 'id_str': '4917174394', 'indices': [31, 40]}, {'screen_name': 'PlayboyNFTS', 'name': 'PlayboyNFTS', 'id': 1445900613137494023, 'id_str': '1445900613137494023', 'indices': [41, 53]}, {'screen_name': 'laube_mark', 'name': 'Marky Mark (Not rich- (poor)) 🍵🐰', 'id': 1363184264796381185, 'id_str': '1363184264796381185', 'indices': [54, 65]}, {'screen_name': 'DerabbitagsNFT', 'name': 'Derabbitags NFT', 'id': 1491559420614131713, 'id_str': '1491559420614131713', 'indices': [66, 81]}, {'screen_name': 'Needles1000', 'name': '1000NΞΞDLΞS', 'id': 1397940860, 'id_str': '1397940860', 'indices': [82, 94]}, {'screen_name': 'Weedduh', 'name': 'weedduh.tez', 'id': 199385580, 'id_str': '199385580', 'indices': [95, 103]}, {'screen_name': 'DegenDiogenestv', 'name': 'Degen Diogenes 🕶️', 'id': 1507733465051054082, 'id_str': '1507733465051054082', 'indices': [104, 120]}, {'screen_name': 'TurTasta', 'name': 'tasta tur', 'id': 44742673, 'id_str': '44742673', 'indices': [121, 130]}];@MsDinklepuff @derner85 @PlayboyNFTS @laube_mark @DerabbitagsNFT @Needles1000 @Weedduh @DegenDiogenestv @TurTasta… https://t.co/L2BEAalcm5
37;1518003186841403392;2022-04-23 23:05:37+00:00;AmericaFightHim;False;United States;13926;13740;228556;0;23;[];[{'screen_name': 'AmericaFightHim', 'name': 'Peace and love', 'id': 351346086, 'id_str': '351346086', 'indices': [3, 19]}];"I remember hearing the same magical thinking when Mueller was ""investigating"" that I hear about Merrick Garland and… https://t.co/Peq8ys7JgF"
38;1518003096953270273;2022-04-23 23:05:16+00:00;AmericaFightHim;False;United States;13926;13740;228556;0;61;[];[{'screen_name': 'AmericaFightHim', 'name': 'Peace and love', 'id': 351346086, 'id_str': '351346086', 'indices': [3, 19]}];Evil is evil. You can try to spruce it up with religion, decorate it in propaganda, adorn it with self righteousnes… https://t.co/FJnXabx5Of
39;1518002627472199680;2022-04-23 23:03:24+00:00;liz77619;False;;207;140;6860;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
40;1518002485394391042;2022-04-23 23:02:50+00:00;donnahouston06;False;;590;431;64565;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
41;1518002353294741506;2022-04-23 23:02:18+00:00;Catmandoodlebug;False;Athens, GA;6649;6146;15288;0;64;[];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];I'm sure it warms the hearts of the evangelical family values crowd to see all the photos of Trump, without the str… https://t.co/BMwLh3SFN7
42;1518001992936804352;2022-04-23 23:00:52+00:00;electroboyusa;False;Los Angeles;62259;111206;231259;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
43;1518001298519601154;2022-04-23 22:58:07+00:00;curtisc5105;False;Florida Dist. 6;4655;4278;50123;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
